Event_ID,Product_ID,Submission_ID,Lifecycle_Stage,Stage_Order,Stage_Start_Date,Stage_End_Date,Stage_Duration_Days,Event_Status
900081,109897,500014,Regulatory Submission,3,2022-11-26,2022-11-29,3.0,Completed
900082,109897,500014,Regulatory Review,4,2022-11-29,2023-01-26,58.5,Completed
900083,109897,500014,Approval,5,2023-01-27,2023-02-09,13.7,In Progress
900084,109897,500014,Post-Market Monitoring,6,2023-02-09,2023-05-17,97.8,In Progress
900085,100997,500015,Development,1,2022-08-15,2022-12-31,138.6,Completed
900086,100997,500015,Submission Preparation,2,2022-12-31,2023-02-24,55.1,Completed
900087,100997,500015,Regulatory Submission,3,2023-02-24,2023-03-11,15.6,Completed
900088,100997,500015,Regulatory Review,4,2023-03-12,2023-05-13,62.9,Completed
900089,100997,500015,Approval,5,2023-05-14,2023-05-28,14.5,Completed
900090,100997,500015,Post-Market Monitoring,6,2023-05-28,2023-08-07,71.1,Completed
900091,105699,500016,Development,1,2022-05-08,2022-10-17,162.1,Completed
900092,105699,500016,Submission Preparation,2,2022-10-17,2022-12-03,47.2,Completed
900093,105699,500016,Regulatory Submission,3,2022-12-03,2022-12-12,9.0,Completed
900094,105699,500016,Regulatory Review,4,2022-12-12,2023-02-27,77.2,Completed
900095,105699,500016,Approval,5,2023-02-27,2023-03-10,11.6,Completed
900096,105699,500016,Post-Market Monitoring,6,2023-03-11,2023-07-04,115.6,Completed
900097,102818,500017,Development,1,2024-02-28,2024-05-29,91.2,Completed
900098,102818,500017,Submission Preparation,2,2024-05-29,2024-06-22,24.5,Completed
900099,102818,500017,Regulatory Submission,3,2024-06-22,2024-06-26,4.6,Completed
900100,102818,500017,Regulatory Review,4,2024-06-27,2024-08-23,57.1,Completed
900101,102818,500017,Approval,5,2024-08-23,2024-09-09,17.3,Completed
900102,102818,500017,Post-Market Monitoring,6,2024-09-09,2024-10-28,49.6,Completed
900103,107093,500018,Development,1,2023-02-23,2023-07-26,153.1,Completed
900104,107093,500018,Submission Preparation,2,2023-07-26,2023-09-18,54.5,Completed
900105,107093,500018,Regulatory Submission,3,2023-09-18,2023-09-23,5.1,Completed
900106,107093,500018,Regulatory Review,4,2023-09-23,2023-11-27,65.9,Completed
900107,107093,500018,Approval,5,2023-11-28,2023-12-06,8.8,In Progress
900108,107093,500018,Post-Market Monitoring,6,2023-12-07,2024-02-15,70.4,In Progress
900109,110042,500019,Development,1,2024-06-13,2024-10-08,117.0,Completed
900110,110042,500019,Submission Preparation,2,2024-10-08,2024-11-18,41.1,Completed
900111,110042,500019,Regulatory Submission,3,2024-11-18,2024-11-26,8.7,Completed
900112,110042,500019,Regulatory Review,4,2024-11-26,2025-02-28,94.3,Completed
900113,110042,500019,Approval,5,2025-03-01,2025-03-11,10.9,In Progress
900114,110042,500019,Post-Market Monitoring,6,2025-03-11,2025-04-16,36.9,In Progress
900115,102313,500020,Development,1,2022-03-06,2022-06-05,91.6,Completed
900116,102313,500020,Submission Preparation,2,2022-06-05,2022-08-04,60.9,Completed
900117,102313,500020,Regulatory Submission,3,2022-08-05,2022-08-17,12.6,Completed
900118,102313,500020,Regulatory Review,4,2022-08-18,2022-10-25,68.5,Completed
900119,102313,500020,Approval,5,2022-10-25,2022-11-10,16.8,Completed
900120,102313,500020,Post-Market Monitoring,6,2022-11-11,2023-01-23,73.5,Completed
900121,113702,500021,Development,1,2024-02-22,2024-06-24,123.6,Completed
900122,113702,500021,Submission Preparation,2,2024-06-24,2024-08-16,53.0,Completed
900123,113702,500021,Regulatory Submission,3,2024-08-16,2024-08-28,12.7,Completed
900124,113702,500021,Regulatory Review,4,2024-08-29,2024-11-03,66.7,Completed
900125,113702,500021,Approval,5,2024-11-04,2024-11-21,17.5,Completed
900126,113702,500021,Post-Market Monitoring,6,2024-11-21,2025-01-24,64.7,Completed
900127,114659,500022,Development,1,2024-08-19,2024-11-27,100.8,Completed
900128,114659,500022,Submission Preparation,2,2024-11-27,2025-01-24,58.0,Completed
900129,114659,500022,Regulatory Submission,3,2025-01-24,2025-02-06,13.1,Completed
900130,114659,500022,Regulatory Review,4,2025-02-06,2025-03-27,49.7,Completed
900131,114659,500022,Approval,5,2025-03-28,2025-04-07,10.2,In Progress
900132,114659,500022,Post-Market Monitoring,6,2025-04-07,2025-07-01,85.6,In Progress
900133,109945,500023,Development,1,2023-12-01,2024-06-13,195.6,Completed
900134,109945,500023,Submission Preparation,2,2024-06-13,2024-07-18,35.3,Completed
900135,109945,500023,Regulatory Submission,3,2024-07-18,2024-07-28,10.0,Completed
900136,109945,500023,Regulatory Review,4,2024-07-28,2024-10-06,70.1,Completed
900137,109945,500023,Approval,5,2024-10-07,2024-11-06,30.6,In Progress
900138,109945,500023,Post-Market Monitoring,6,2024-11-06,2025-01-29,84.1,In Progress
900139,103984,500024,Development,1,2023-10-30,2024-02-28,121.0,Completed
900140,103984,500024,Submission Preparation,2,2024-02-28,2024-04-19,51.1,Completed
900141,103984,500024,Regulatory Submission,3,2024-04-19,2024-05-04,15.2,Completed
900142,103984,500024,Regulatory Review,4,2024-05-04,2024-07-12,69.6,Completed
900143,103984,500024,Approval,5,2024-07-12,2024-07-23,11.0,Completed
900144,103984,500024,Post-Market Monitoring,6,2024-07-23,2024-12-11,141.0,Completed
900145,103362,500025,Development,1,2024-11-04,2025-01-13,70.0,Completed
900146,103362,500025,Submission Preparation,2,2025-01-13,2025-02-21,39.1,Completed
900147,103362,500025,Regulatory Submission,3,2025-02-21,2025-03-09,16.4,Completed
900148,103362,500025,Regulatory Review,4,2025-03-09,2025-04-28,50.7,Completed
900149,103362,500025,Approval,5,2025-04-29,2025-05-25,26.5,Completed
900150,103362,500025,Post-Market Monitoring,6,2025-05-25,2025-08-26,93.0,Completed
900151,112878,500026,Development,1,2023-04-25,2023-07-27,93.2,Completed
900152,112878,500026,Submission Preparation,2,2023-07-27,2023-08-17,21.5,Completed
900153,112878,500026,Regulatory Submission,3,2023-08-17,2023-08-30,13.6,Completed
900154,112878,500026,Regulatory Review,4,2023-08-31,2023-11-28,89.8,Completed
900155,112878,500026,Approval,5,2023-11-29,2023-12-15,16.6,Completed
900156,112878,500026,Post-Market Monitoring,6,2023-12-15,2024-01-27,43.5,Completed
900157,106528,500027,Development,1,2023-01-30,2023-06-21,142.5,Completed
900158,106528,500027,Submission Preparation,2,2023-06-21,2023-07-25,34.7,Completed
900159,106528,500027,Regulatory Submission,3,2023-07-26,2023-08-06,11.4,Completed
900160,106528,500027,Regulatory Review,4,2023-08-06,2023-09-17,42.1,Completed
900161,106528,500027,Approval,5,2023-09-17,2023-10-03,16.7,In Progress
900162,106528,500027,Post-Market Monitoring,6,2023-10-04,2023-11-25,52.6,In Progress
900163,100904,500028,Development,1,2022-12-12,2023-03-27,105.4,Completed
900164,100904,500028,Submission Preparation,2,2023-03-27,2023-05-29,63.2,Completed
900165,100904,500028,Regulatory Submission,3,2023-05-29,2023-06-18,20.4,Completed
900166,100904,500028,Regulatory Review,4,2023-06-19,2023-09-15,88.5,Completed
900167,100904,500028,Approval,5,2023-09-15,2023-09-30,15.7,Completed
900168,100904,500028,Post-Market Monitoring,6,2023-10-01,2024-01-10,101.7,Completed
900169,106090,500029,Development,1,2022-08-31,2022-12-25,116.7,Completed
900170,106090,500029,Submission Preparation,2,2022-12-25,2023-03-09,74.1,Completed
900171,106090,500029,Regulatory Submission,3,2023-03-09,2023-03-25,16.1,Completed
900172,106090,500029,Regulatory Review,4,2023-03-25,2023-06-19,86.5,Completed
900173,106090,500029,Approval,5,2023-06-20,2023-07-05,15.8,In Progress
900174,106090,500029,Post-Market Monitoring,6,2023-07-06,2023-10-26,112.6,In Progress
900175,111885,500030,Development,1,2023-03-04,2023-07-01,119.6,Completed
900176,111885,500030,Submission Preparation,2,2023-07-01,2023-08-18,48.5,Completed
900177,111885,500030,Regulatory Submission,3,2023-08-19,2023-08-29,10.8,Completed
900178,111885,500030,Regulatory Review,4,2023-08-29,2023-11-10,73.4,Completed
900179,111885,500030,Approval,5,2023-11-11,2023-11-30,19.8,In Progress
900180,111885,500030,Post-Market Monitoring,6,2023-12-01,2024-03-29,119.8,In Progress
900181,109584,500031,Development,1,2022-01-13,2022-06-12,150.8,Completed
900182,109584,500031,Submission Preparation,2,2022-06-12,2022-07-21,39.8,Completed
900183,109584,500031,Regulatory Submission,3,2022-07-22,2022-08-05,14.5,Completed
900184,109584,500031,Regulatory Review,4,2022-08-06,2022-11-03,89.4,Completed
900185,109584,500031,Approval,5,2022-11-03,2022-11-24,21.5,Completed
900186,109584,500031,Post-Market Monitoring,6,2022-11-25,2023-01-30,66.5,Completed
900187,111953,500032,Development,1,2023-03-16,2023-08-16,153.4,Completed
900188,111953,500032,Submission Preparation,2,2023-08-16,2023-10-20,65.8,Completed
900189,111953,500032,Regulatory Submission,3,2023-10-21,2023-11-01,11.5,Completed
900190,111953,500032,Regulatory Review,4,2023-11-01,2024-02-15,106.0,Completed
900191,111953,500032,Approval,5,2024-02-15,2024-03-03,17.8,Completed
900192,111953,500032,Post-Market Monitoring,6,2024-03-04,2024-06-10,98.7,Completed
900193,110004,500033,Development,1,2024-01-29,2024-03-27,58.2,Completed
900194,110004,500033,Submission Preparation,2,2024-03-27,2024-05-13,47.3,Completed
900195,110004,500033,Regulatory Submission,3,2024-05-13,2024-05-22,9.1,Completed
900196,110004,500033,Regulatory Review,4,2024-05-22,2024-08-16,86.6,Completed
900197,110004,500033,Approval,5,2024-08-17,2024-09-05,19.2,Completed
900198,110004,500033,Post-Market Monitoring,6,2024-09-05,2024-11-06,62.2,Completed
900199,103915,500034,Development,1,2023-01-06,2023-05-14,128.3,Completed
900200,103915,500034,Submission Preparation,2,2023-05-14,2023-07-08,55.1,Completed
900201,103915,500034,Regulatory Submission,3,2023-07-08,2023-07-20,12.0,Completed
900202,103915,500034,Regulatory Review,4,2023-07-20,2023-10-13,85.2,Completed
900203,103915,500034,Approval,5,2023-10-13,2023-10-26,13.1,Completed
900204,103915,500034,Post-Market Monitoring,6,2023-10-26,2024-02-05,102.6,Completed
900205,108470,500035,Development,1,2023-05-14,2023-09-22,131.4,Completed
900206,108470,500035,Submission Preparation,2,2023-09-22,2023-11-05,44.7,Completed
900207,108470,500035,Regulatory Submission,3,2023-11-06,2023-11-22,16.1,Completed
900208,108470,500035,Regulatory Review,4,2023-11-22,2024-02-02,72.8,Completed
900209,108470,500035,Approval,5,2024-02-03,2024-02-15,12.0,Completed
900210,108470,500035,Post-Market Monitoring,6,2024-02-15,2024-05-04,79.1,Completed
900211,108512,500036,Development,1,2024-10-31,2025-01-13,74.8,Completed
900212,108512,500036,Submission Preparation,2,2025-01-13,2025-03-14,60.2,Completed
900213,108512,500036,Regulatory Submission,3,2025-03-15,2025-03-27,12.6,Completed
900214,108512,500036,Regulatory Review,4,2025-03-27,2025-07-23,118.0,Completed
900215,108512,500036,Approval,5,2025-07-23,2025-08-05,13.9,Completed
900216,108512,500036,Post-Market Monitoring,6,2025-08-06,2025-11-11,97.9,Completed
900217,114747,500037,Development,1,2023-02-19,2023-07-10,141.7,Completed
900218,114747,500037,Submission Preparation,2,2023-07-10,2023-09-02,54.0,Completed
900219,114747,500037,Regulatory Submission,3,2023-09-02,2023-09-18,16.1,Completed
900220,114747,500037,Regulatory Review,4,2023-09-18,2023-12-08,81.0,Completed
900221,114747,500037,Approval,5,2023-12-08,2023-12-19,11.4,Completed
900222,114747,500037,Post-Market Monitoring,6,2023-12-20,2024-02-17,59.7,Completed
900223,104466,500038,Development,1,2022-01-27,2022-05-13,106.5,Completed
900224,104466,500038,Submission Preparation,2,2022-05-13,2022-06-19,37.2,Completed
900225,104466,500038,Regulatory Submission,3,2022-06-19,2022-06-24,5.7,Completed
900226,104466,500038,Regulatory Review,4,2022-06-25,2022-09-11,78.0,Completed
900227,104466,500038,Approval,5,2022-09-11,2022-09-18,7.1,Completed
900228,104466,500038,Post-Market Monitoring,6,2022-09-18,2023-02-05,140.9,Completed
900229,104889,500039,Development,1,2022-02-07,2022-07-03,146.5,Completed
900230,104889,500039,Submission Preparation,2,2022-07-03,2022-08-28,56.5,Completed
900231,104889,500039,Regulatory Submission,3,2022-08-29,2022-09-10,12.3,Completed
900232,104889,500039,Regulatory Review,4,2022-09-10,2022-11-30,81.7,Completed
900233,104889,500039,Approval,5,2022-12-01,2022-12-15,14.4,Completed
900234,104889,500039,Post-Market Monitoring,6,2022-12-15,2023-02-07,54.0,Completed
900235,103160,500040,Development,1,2024-03-28,2024-07-30,124.2,Completed
900236,103160,500040,Submission Preparation,2,2024-07-30,2024-09-13,45.3,Completed
900237,103160,500040,Regulatory Submission,3,2024-09-13,2024-09-28,15.0,Completed
900238,103160,500040,Regulatory Review,4,2024-09-28,2024-11-24,57.4,Completed
900239,103160,500040,Approval,5,2024-11-24,2024-12-01,7.9,In Progress
900240,103160,500040,Post-Market Monitoring,6,2024-12-02,2024-12-28,26.7,In Progress
900241,105744,500041,Development,1,2024-06-17,2024-09-27,102.0,Completed
900242,105744,500041,Submission Preparation,2,2024-09-27,2024-11-04,38.4,Completed
900243,105744,500041,Regulatory Submission,3,2024-11-04,2024-11-24,20.2,Completed
900244,105744,500041,Regulatory Review,4,2024-11-24,2024-12-30,36.5,Completed
900245,105744,500041,Approval,5,2024-12-31,2025-01-10,10.5,Completed
900246,105744,500041,Post-Market Monitoring,6,2025-01-10,2025-03-16,65.7,Completed
900247,109274,500042,Development,1,2023-11-12,2024-02-27,107.5,Completed
900248,109274,500042,Submission Preparation,2,2024-02-27,2024-04-21,54.2,Completed
900249,109274,500042,Regulatory Submission,3,2024-04-21,2024-04-27,6.7,Completed
900250,109274,500042,Regulatory Review,4,2024-04-28,2024-07-23,86.1,Completed
900251,109274,500042,Approval,5,2024-07-23,2024-08-08,16.7,Completed
900252,109274,500042,Post-Market Monitoring,6,2024-08-09,2024-09-21,43.4,Completed
900253,106493,500043,Development,1,2023-04-19,2023-07-26,98.8,Completed
900254,106493,500043,Submission Preparation,2,2023-07-26,2023-09-27,63.1,Completed
900255,106493,500043,Regulatory Submission,3,2023-09-27,2023-10-14,17.9,Completed
900256,106493,500043,Regulatory Review,4,2023-10-15,2023-12-26,72.1,Completed
900257,106493,500043,Approval,5,2023-12-26,2024-01-20,25.1,Completed
900258,106493,500043,Post-Market Monitoring,6,2024-01-21,2024-04-10,80.4,Completed
900259,110881,500044,Development,1,2023-03-03,2023-07-10,129.2,Completed
900260,110881,500044,Submission Preparation,2,2023-07-10,2023-08-29,50.7,Completed
900261,110881,500044,Regulatory Submission,3,2023-08-29,2023-09-08,10.3,Completed
900262,110881,500044,Regulatory Review,4,2023-09-09,2023-11-19,71.1,Completed
900263,110881,500044,Approval,5,2023-11-19,2023-12-02,13.8,Completed
900264,110881,500044,Post-Market Monitoring,6,2023-12-03,2024-02-17,76.0,Completed
900265,100916,500045,Development,1,2022-03-22,2022-06-17,87.8,Completed
900266,100916,500045,Submission Preparation,2,2022-06-17,2022-07-27,40.5,Completed
900267,100916,500045,Regulatory Submission,3,2022-07-28,2022-08-03,6.7,Completed
900268,100916,500045,Regulatory Review,4,2022-08-04,2022-11-10,98.8,Completed
900269,100916,500045,Approval,5,2022-11-10,2022-11-28,18.6,Completed
900270,100916,500045,Post-Market Monitoring,6,2022-11-29,2023-03-07,98.0,Completed
900271,110690,500046,Development,1,2022-02-23,2022-07-05,132.8,Completed
900272,110690,500046,Submission Preparation,2,2022-07-05,2022-08-20,46.3,Completed
900273,110690,500046,Regulatory Submission,3,2022-08-21,2022-08-30,9.0,Completed
900274,110690,500046,Regulatory Review,4,2022-08-30,2022-10-22,53.5,Completed
900275,110690,500046,Approval,5,2022-10-22,2022-11-11,20.7,Completed
900276,110690,500046,Post-Market Monitoring,6,2022-11-12,2023-01-28,77.8,Completed
900277,113535,500047,Development,1,2023-09-25,2024-01-08,105.3,Completed
900278,113535,500047,Submission Preparation,2,2024-01-08,2024-02-19,42.4,Completed
900279,113535,500047,Regulatory Submission,3,2024-02-19,2024-02-24,5.6,Completed
900280,113535,500047,Regulatory Review,4,2024-02-25,2024-04-29,64.9,Completed
900281,113535,500047,Approval,5,2024-04-30,2024-05-17,17.8,In Progress
900282,113535,500047,Post-Market Monitoring,6,2024-05-18,2024-08-14,88.1,In Progress
900283,112578,500048,Development,1,2024-02-09,2024-06-10,122.8,Completed
900284,112578,500048,Submission Preparation,2,2024-06-10,2024-07-12,32.9,Completed
900285,112578,500048,Regulatory Submission,3,2024-07-13,2024-07-24,11.5,Completed
900286,112578,500048,Regulatory Review,4,2024-07-25,2024-10-30,97.4,Completed
900287,112578,500048,Approval,5,2024-10-30,2024-11-04,5.6,In Progress
900288,112578,500048,Post-Market Monitoring,6,2024-11-05,2025-02-18,105.4,In Progress
900289,106882,500049,Development,1,2023-01-31,2023-05-17,106.3,Completed
900290,106882,500049,Submission Preparation,2,2023-05-17,2023-06-25,39.6,Completed
900291,106882,500049,Regulatory Submission,3,2023-06-25,2023-06-30,5.7,Completed
900292,106882,500049,Regulatory Review,4,2023-07-01,2023-09-24,85.9,Completed
900293,106882,500049,Approval,5,2023-09-25,2023-10-03,8.3,In Progress
900294,106882,500049,Post-Market Monitoring,6,2023-10-03,2023-12-06,64.0,In Progress
900295,110729,500050,Development,1,2022-02-17,2022-06-07,110.1,Completed
900296,110729,500050,Submission Preparation,2,2022-06-07,2022-07-10,33.9,Completed
900297,110729,500050,Regulatory Submission,3,2022-07-11,2022-07-18,7.3,Completed
900298,110729,500050,Regulatory Review,4,2022-07-18,2022-10-06,80.8,Completed
900299,110729,500050,Approval,5,2022-10-07,2022-10-11,4.9,In Progress
900300,110729,500050,Post-Market Monitoring,6,2022-10-12,2023-02-02,113.6,In Progress
900301,111639,500051,Development,1,2024-07-27,2024-12-15,141.5,Completed
900302,111639,500051,Submission Preparation,2,2024-12-15,2025-01-23,39.2,Completed
900303,111639,500051,Regulatory Submission,3,2025-01-23,2025-01-31,8.5,Completed
900304,111639,500051,Regulatory Review,4,2025-02-01,2025-03-18,45.5,Completed
900305,111639,500051,Approval,5,2025-03-18,2025-04-05,18.3,In Progress
900306,111639,500051,Post-Market Monitoring,6,2025-04-06,2025-05-27,51.4,In Progress
900307,105737,500052,Development,1,2023-12-18,2024-05-10,144.4,Completed
900308,105737,500052,Submission Preparation,2,2024-05-10,2024-07-25,76.2,Completed
900309,105737,500052,Regulatory Submission,3,2024-07-25,2024-08-04,10.8,Completed
900310,105737,500052,Regulatory Review,4,2024-08-05,2024-10-11,67.9,Completed
900311,105737,500052,Approval,5,2024-10-12,2024-10-25,13.4,In Progress
900312,105737,500052,Post-Market Monitoring,6,2024-10-25,2025-02-02,100.8,In Progress
900313,105662,500053,Development,1,2022-10-13,2023-01-17,96.9,Completed
900314,105662,500053,Submission Preparation,2,2023-01-17,2023-03-23,65.7,Completed
900315,105662,500053,Regulatory Submission,3,2023-03-24,2023-04-03,10.2,Completed
900316,105662,500053,Regulatory Review,4,2023-04-03,2023-06-17,75.3,Completed
900317,105662,500053,Approval,5,2023-06-18,2023-06-27,9.3,In Progress
900318,105662,500053,Post-Market Monitoring,6,2023-06-27,2023-08-29,63.3,In Progress
900319,114689,500054,Development,1,2023-11-11,2024-04-30,171.1,Completed
900320,114689,500054,Submission Preparation,2,2024-04-30,2024-06-17,48.1,Completed
900321,114689,500054,Regulatory Submission,3,2024-06-17,2024-06-24,7.6,Completed
900322,114689,500054,Regulatory Review,4,2024-06-24,2024-08-28,65.4,Completed
900323,114689,500054,Approval,5,2024-08-29,2024-09-13,15.7,Completed
900324,114689,500054,Post-Market Monitoring,6,2024-09-13,2024-11-27,75.2,Completed
900325,112342,500055,Development,1,2023-08-23,2023-11-02,71.4,Completed
900326,112342,500055,Submission Preparation,2,2023-11-02,2023-12-29,57.9,Completed
900327,112342,500055,Regulatory Submission,3,2023-12-30,2024-01-12,13.6,Completed
900328,112342,500055,Regulatory Review,4,2024-01-12,2024-03-19,67.2,Completed
900329,112342,500055,Approval,5,2024-03-20,2024-04-07,18.3,Completed
900330,112342,500055,Post-Market Monitoring,6,2024-04-07,2024-07-10,94.4,Completed
900331,114338,500056,Development,1,2022-11-11,2023-03-01,110.3,Completed
900332,114338,500056,Submission Preparation,2,2023-03-01,2023-05-03,63.0,Completed
900333,114338,500056,Regulatory Submission,3,2023-05-03,2023-05-18,15.8,Completed
900334,114338,500056,Regulatory Review,4,2023-05-19,2023-07-17,59.7,Completed
900335,114338,500056,Approval,5,2023-07-17,2023-07-31,14.6,Completed
900336,114338,500056,Post-Market Monitoring,6,2023-08-01,2023-10-28,88.6,Completed
900337,113017,500057,Development,1,2024-01-10,2024-04-02,83.6,Completed
900338,113017,500057,Submission Preparation,2,2024-04-02,2024-06-03,62.0,Completed
900339,113017,500057,Regulatory Submission,3,2024-06-03,2024-06-10,7.1,Completed
900340,113017,500057,Regulatory Review,4,2024-06-10,2024-08-26,77.7,Completed
900341,113017,500057,Approval,5,2024-08-27,2024-09-18,22.4,Completed
900342,113017,500057,Post-Market Monitoring,6,2024-09-18,2024-11-16,59.1,Completed
900343,106779,500058,Development,1,2022-06-07,2022-11-03,149.0,Completed
